"","concentration","time","sim"
"176",1.33226955493144e-11,1331.80870978278,"Sim1"
"177",5.68740419778191e-12,1337.01904526725,"Sim1"
"178",2.42792957245142e-12,1342.22938075173,"Sim1"
"179",1.03647319652138e-12,1347.4397162362,"Sim1"
"180",4.42466165121327e-13,1352.65005172067,"Sim1"
"181",1.88886994795659e-13,1357.86038720515,"Sim1"
"182",8.06350849293801e-14,1363.07072268962,"Sim1"
"183",3.44227877022572e-14,1368.28105817409,"Sim1"
"184",1.46949471713514e-14,1373.49139365857,"Sim1"
"185",6.27321279835357e-15,1378.70172914304,"Sim1"
"186",1.15284905070616e-15,1860,"Sim1"
"187",4.92146540925235e-16,1865.21033548447,"Sim1"
"188",2.10095343875517e-16,1870.42067096895,"Sim1"
"189",8.96888423419343e-17,1875.63100645342,"Sim1"
"190",3.82877996829979e-17,1880.84134193789,"Sim1"
"191",1.63449049657313e-17,1886.05167742237,"Sim1"
"192",6.97757302719646e-18,1891.26201290684,"Sim1"
"193",2.97869736483238e-18,1896.47234839131,"Sim1"
"194",1.27159371269588e-18,1901.68268387578,"Sim1"
"195",5.4283815108511e-19,1906.89301936026,"Sim1"
"196",2.31735384762771e-19,1912.10335484473,"Sim1"
"197",9.89268872200725e-20,1917.3136903292,"Sim1"
"198",4.22314832284741e-20,1922.52402581368,"Sim1"
"199",1.80284473290798e-20,1927.73436129815,"Sim1"
"200",7.69627037106427e-21,1932.94469678262,"Sim1"
"201",3.28550631917037e-21,1938.1550322671,"Sim1"
"202",1.40256919947782e-21,1943.36536775157,"Sim1"
"203",5.98751050285784e-22,1948.57570323604,"Sim1"
"204",2.55604372569854e-22,1953.78603872051,"Sim1"
"205",1.091164604148e-22,1958.99637420499,"Sim1"
"206",4.65813703175237e-23,1964.20670968946,"Sim1"
"207",1.98853963225146e-23,1969.41704517393,"Sim1"
"208",8.488994295531e-24,1974.62738065841,"Sim1"
"209",3.62391691776176e-24,1979.83771614288,"Sim1"
"210",1.54703529884024e-24,1985.04805162735,"Sim1"
"211",6.60423036777534e-25,1990.25838711183,"Sim1"
"212",2.81931891168504e-25,1995.4687225963,"Sim1"
"213",1.20355570341233e-25,2000.67905808077,"Sim1"
"214",5.1379300341393e-26,2005.88939356524,"Sim1"
"215",2.19336130109026e-26,2011.09972904972,"Sim1"
"216",9.36336961607974e-27,2016.31006453419,"Sim1"
"217",3.99718416312651e-27,2021.52040001866,"Sim1"
"218",1.7063815580356e-27,2026.73073550314,"Sim1"
"219",7.28447302594761e-28,2031.94107098761,"Sim1"
"220",3.10971171810164e-28,2037.15140647208,"Sim1"
"221",1.32752320384091e-28,2042.36174195656,"Sim1"
"222",5.66714221925322e-29,2047.57207744103,"Sim1"
"223",2.41927981675349e-29,2052.7824129255,"Sim1"
"224",1.03278065121896e-29,2057.99274840998,"Sim1"
"225",4.40889832645985e-30,2063.20308389445,"Sim1"
"226",1.88214064914152e-30,2068.41341937892,"Sim1"
"227",8.03478139173892e-31,2073.62375486339,"Sim1"
"228",3.43001528830909e-31,2078.83409034787,"Sim1"
"229",1.46425948690159e-31,2084.04442583234,"Sim1"
"230",6.25086381477409e-32,2089.25476131681,"Sim1"
"231",2.66846817660249e-32,2094.46509680129,"Sim1"
"232",1.13915814206514e-32,2099.67543228576,"Sim1"
"233",4.86301948065766e-33,2104.88576777023,"Sim1"
"234",2.07600311106793e-33,2110.09610325471,"Sim1"
"235",8.86237230655898e-34,2115.30643873918,"Sim1"
"236",3.78331046236537e-34,2120.51677422365,"Sim1"
"237",1.6150797506047e-34,2125.72710970812,"Sim1"
"238",6.89470934717443e-35,2130.9374451926,"Sim1"
"239",2.94332319900712e-35,2136.14778067707,"Sim1"
"240",1.25649262609798e-35,2141.35811616154,"Sim1"
"241",5.36391559027966e-36,2146.56845164602,"Sim1"
"242",2.28983361000652e-36,2151.77878713049,"Sim1"
"243",9.77520595405586e-37,2156.98912261496,"Sim1"
"244",4.17299541008734e-37,2162.19945809944,"Sim1"
"245",1.78143465973571e-37,2167.40979358391,"Sim1"
"246",7.60487164504518e-38,2172.62012906838,"Sim1"
"247",0.00011170966503236,2177.83046455286,"Sim1"
"248",4.76883987543007e-05,2183.04080003733,"Sim1"
"249",0.000132067647263265,2188.2511355218,"Sim1"
"250",5.63791380397436e-05,2193.46147100627,"Sim1"
"251",2.40680232590817e-05,2198.67180649075,"Sim1"
"252",1.02745406144974e-05,2203.88214197522,"Sim1"
"253",4.38615933276207e-06,2209.09247745969,"Sim1"
"254",1.87243346580678e-06,2214.30281294417,"Sim1"
"255",7.99334182341562e-07,2219.51314842864,"Sim1"
"256",3.41232490621158e-07,2224.72348391311,"Sim1"
"257",1.45670753519412e-07,2229.93381939759,"Sim1"
"258",6.21862484205003e-08,2235.14415488206,"Sim1"
"259",2.65470549110659e-08,2240.35449036653,"Sim1"
"260",1.13328290796011e-08,2245.564825851,"Sim1"
"261",4.83793834674735e-09,2250.77516133548,"Sim1"
"262",2.06529607766327e-09,2255.98549681995,"Sim1"
"263",0.000111710546698801,2261.19583230442,"Sim1"
"264",0.000159398440166455,2266.4061677889,"Sim1"
"265",6.80465416602003e-05,2271.61650327337,"Sim1"
"266",2.90487901078458e-05,2276.82683875784,"Sim1"
"267",1.24008095950485e-05,2282.03717424232,"Sim1"
"268",5.29385485735297e-06,2287.24750972679,"Sim1"
"269",2.25992496989146e-06,2292.45784521126,"Sim1"
"270",9.64752719361982e-07,2297.66818069573,"Sim1"
"271",4.11848986986962e-07,2302.87851618021,"Sim1"
"272",1.75816646771788e-07,2308.08885166468,"Sim1"
"273",7.50554068573054e-08,2313.29918714915,"Sim1"
"274",3.20408459719276e-08,2318.50952263363,"Sim1"
"275",1.36781059963952e-08,2323.7198581181,"Sim1"
"276",5.83912746288097e-09,2328.93019360257,"Sim1"
"277",2.49269961329123e-09,2334.14052908705,"Sim1"
"278",1.06412326184032e-09,2339.35086457152,"Sim1"
"279",4.54269864829227e-10,2344.56120005599,"Sim1"
